k10,k_kinetics,xNH3_r2,xNO3_r2,xNO2_r2,xNOrg_r2,xN2_r2,ANH3_r2,ANO3_r2,ANO2_r2,ANOrg_r2,AN2_r2,r2_mean,r2_all
20,00000010100,-34.76922508138501,-78.00092425196036,-89.75692815748647,-3.497986408743139,-1.7910976052844934,0.9367782091081398,-49840.112442676116,0.3454258976799319,0.8261753173528592,-1.6331031941813685,-5004.7453327951025, 0.9985337395008289
21,00000010101,-57.63443361242767,-5.366672714454891,-23.997511480608253,-4.113715442039443,-1.7910591835536471,0.8121869294899728,-3203427.771569317,0.20326053387523058,0.806961237397019,-2.141525693547377,-320352.0994078743, 0.9970722428872342
22,00000010110,-30.35794560922392,-14.972761124073898,-43.30827381770545,-1.1841143405763326,-1.7907534039040542,0.7283773500766721,-61881.0567828227,-0.441763498200751,0.731455244551417,-1.9570560517169961,-6197.360961807348, 0.9983865144322236
23,00000010111,-204.63838792955468,-7.09933541042378,-25.28298862746169,-5.560023007250454,-1.7910928446978946,0.8221830427599195,-10152988.395146027,0.24776511272843404,0.8686155214786677,-2.120094699221446,-1015323.2948504869, 0.9976887827539574
24,00000011000,-650.0184474228284,0.4917223808582307,-20.29080232763223,-1.1580276772427576,-1.7913591579773018,0.9339073681663739,-59531.07094605803,-5.855730139827384,0.9838285058636955,-1.8952003769166152,-6020.967105490557, 0.9982489075660386
25,00000011001,-482.82086228925954,-11.215121645824802,-22.990484964881034,-9.006600255387946,-1.7903476195493147,-0.0710405543868986,-22407593.674167816,-1.8090451919694637,0.8853016836420566,-2.6100465398451456,-2240812.510241519, 0.9975498428574069
26,00000011010,-42.849238971669806,-5.0566687509127775,-1961.5218485518265,-4.813294547259594,-1.7917724902385799,0.6197196176195118,-2275.617517917685,-2.562131759290003,0.8795989006556993,-2.660529215782656,-429.5373683686389, 0.9968193699223906
27,00000011011,0.7057236402566691,-2.8854744480539662,-5.269139912916229,-0.9680477325571661,-0.5045301720898541,0.7826369982589332,-2356.0128262476196,-0.30934055083786505,-78.60702930663729,-0.32868001133489333,-244.33967077435312, -0.05506415510917062
28,00000011100,-0.6449744533490049,-5.869644974559754,-0.028855547818241956,-0.2964795343472708,-0.9724572792459842,0.8920478228841806,-3934.303091001149,-0.052775850945041336,-4.541024691271028,-0.8874993766940276,-394.6704754886495, 0.6405806328656646
29,00000011101,-48.79573315434129,-5.347109612863421,-67.8264663470792,-4.121296709238979,-2.2368741542657324,0.291987236575157,-56606.116837165515,-1.721827447811306,0.27190693745941885,-2.3557485500240123,-5673.79579989671, 0.9957731353512252
30,00000011110,-0.5032501443569848,-5.99033253757394,-1.1575195340620281,-0.290793575647857,-0.9914719967785328,0.7966455200088974,-4003.0290683724797,-0.2621279823220688,-5.8406433720886195,-0.9346334764649491,-401.8203195471766, 0.6418809314406368
31,00000011111,-83.5237018234838,-8.702372679716246,-20.616177814995545,-8.575161057575711,-1.79088892438451,-0.1177186982375551,-6225513.820859974,-1.5940960934343016,0.7933118419122356,-2.4881047115382553,-622564.0435769935, 0.9973168797062715
32,00000100000,0.7427615010469966,-2.8563469813564044,-2.188833036250835,-0.9696821224578069,-0.3509014212541408,0.7909304197814373,-2451.5654995593973,-0.26664703927784394,-70.16129960603152,-0.3153857158924023,-252.71409035610895, -0.046832940870421114
33,00000100001,0.7223096254321044,-2.9011602460180828,-5.26764288926635,-0.9681689469720456,-0.3848574871120287,0.779663866431713,-2403.041230582712,-0.632833556258162,-87.47016161358253,-0.3104262599177332,-249.94745080899753, -0.04569479455668635
34,00000100010,0.6967502880157399,-2.8863078986809736,-5.269139912890394,-0.9685396379851703,-0.5123708367188693,0.7847273250707169,-2392.3631954733273,-0.24674746824587124,-90.94644838469418,-0.3252918333174766,-249.20365638327735, -0.049013500343806804
35,00000100011,0.7263148566805626,-2.904400823157783,-5.144516114878474,-0.9680183354696241,-0.37841468862437155,0.7793837585267316,-2403.093979163376,-1.178498627617341,-84.48603256620781,-0.3106893975319802,-249.69588511016565, -0.04559397091360773
36,00000100100,-27.739357994656228,-4.670291656943661,-1.8141876226189426,-8.437000798026546,-1.792283214758092,-4.924467743022844,-40.61361625399068,-1.5749119394967965,0.8051089342337838,-1.536511310953974,-9.229751960023398, 0.9412415180084024
37,00000100101,0.7229409153365262,-2.905995967039626,-5.150308573628444,-0.9681976705011339,-0.37845404158885376,0.7804878623445499,-2403.1156128340067,-1.055811758050499,-88.8195250616769,-0.31029285426844266,-250.12007699830792, -0.045697568550582046
38,00000100110,0.7224418426832507,-2.870616754648813,-5.268844784863463,-0.9686554631981921,-0.385959324155853,0.7788383297336506,-2415.057199514323,-0.3123853162283121,-89.34598216548925,-0.31189351052952197,-251.30202566610197, -0.046014703271974655
39,00000100111,0.7266820668905616,-2.9043944927702112,-4.946883411707559,-0.9681127475477826,-0.3742761489059594,0.7795054572269438,-2403.0886336292433,-1.0978499585147992,-88.71836888050025,-0.3097614623665548,-250.0902093207439, -0.04561721795618312
40,00000101000,-0.38315666958412153,-5.937275645336877,-1.0888487016979171,-0.3082442916707746,-0.9272771647636096,0.7882270983484929,-14.657733781062438,-0.8652076157110864,-3.4385404533765467,-0.9544762629282459,-2.7772533487783124, 0.5874046533342184
41,00000101001,0.822197103830436,-3.110788508506422,-0.785864704317911,-0.9663897728716582,-0.33898252078377444,0.8082279421459729,-2406.8756953079537,-1.5602740000733109,-47.4708658696055,-0.3068711989940227,-245.97853068371296, -0.04482224063240525
121,00001111001,0.7680908604677998,-2.991496610054773,-0.7613143666947586,-0.9668810328472539,-0.34112183186120504,0.794057776626978,-2409.597869420443,-1.606985452205719,-41.46720285644314,-0.29701213743996435,-245.64677350708956, -0.044717842091151816
60,00000111100,-0.6294011877566021,-6.206499113502459,-1.2827002619426842,-0.299979319626952,-0.9998974011716208,0.825541136596351,-158.20320065601382,-1.0320445462482155,-10.428809276527064,-0.9967428766541899,-17.925373350284726, 0.640786018071089
104,00001101000,0.7164278287526841,-2.8672820566617836,-5.269137513434577,-0.9686823449178237,-0.3993636453611402,0.7783454488398981,-2410.0247331292094,-0.14823192894241455,-90.20915928582863,-0.30887479567005593,-250.8700691422433, -0.04594601699831702
67,00001000011,0.7067554929186672,-2.878834086490023,-1.3688172654531217,-0.9684230851200222,-0.6175811102538826,-0.3333247682302891,-830.9126290480206,-0.3332640518264758,-0.27103442964268853,-0.33333333333168436,-83.731048568545, -0.025645985114959302
98,00001100010,0.7210028930302261,-2.8700397519443115,-5.269015223458484,-0.9684857093890058,-0.3943334993774792,0.777071695814072,-2409.9171792851294,-0.5358383101262212,-89.71872182782228,-0.30909589203107557,-250.84846349104336, -0.04579655169841357
85,00001010101,-152.73669875129383,-6.183762952032754,-1.8037103874615505,-4.601295090431939,-1.792296808336809,0.8169799336315854,-38334273.22341471,-2.2491156759564968,0.9072461782211709,-2.823417717335717,-3833444.3689485984, 0.9962143325656027
66,00001000010,0.7081644950194974,-2.8954851131079877,-5.269139912916229,-0.9680459630331637,-0.4454706638229766,0.7769442036463817,-2410.848382773345,0.03428921733818069,-89.46625014706513,-0.2948124000276189,-250.8668189057314, -0.045193097215393996
105,00001101001,0.7183786326438728,-2.8892575203786444,-5.269011862214393,-0.9682622608498028,-0.39607748163259693,0.7778761355823277,-2403.0374454966063,-0.9648813899080726,-90.57170920685188,-0.3067996641257371,-250.29071901143408, -0.04560969309766283
71,00001000111,-0.9951347786152924,-5.778828078828248,-0.9892584763415213,-0.3331317418996729,-0.9008961547118457,-0.4047059988465038,-0.38849661684324377,-0.6786928256386948,-0.634843083023795,-0.3713119723097531,-1.1475299727058572, -0.05067959366826025
583,01001000111,0.706087473948555,-2.9411369625496233,-5.269139912769898,-0.9673776041279167,-0.4459842229815296,0.7788802866258354,-2403.003283650051,-0.5053296785069854,-89.94344158760899,-0.28689690993730754,-250.1877622767958, -0.044843684937129424
70,00001000110,-5.123378072633327,-4.497556502552752,-1.8074332624751746,-4.325016759996476,-1.7919506271772132,-0.015063971302905266,-0.8676337101536502,-0.9167668642570348,-0.6235480639228721,-0.044261650783482986,-2.0012609485254886, 0.45556005829876745
110,00001101110,0.708218722473605,-2.9306665807874883,-5.269139912510294,-0.9675398420965262,-0.4339364699666879,0.777328284408229,-2408.1402133644747,0.06976837512644818,-89.99544754418879,-0.28822182722479384,-250.64698501592412, -0.04506394963604232
68,00001000100,0.7061727658582595,-2.912833388633193,-5.2645203753509096,-0.9678998850331129,-0.43965531721545226,0.7808496805353845,-2416.880970286226,-0.7811034225227684,-86.58331436182532,-0.2920132610360866,-251.2635287851449, -0.04521737361610101
575,01000111111,0.7546153876184137,-3.626923168312042,-1.0404274392896196,-0.32460629309058553,-0.956765020350572,0.8335649620715433,-3193.9233173723696,-0.3461618819153569,-5.626492912668746,-0.9401994184215658,-320.5196713156728, 0.6345230544168488
76,00001001100,-0.47128855634215827,-6.11512916311223,-1.2222507764921504,-0.29350591068825693,-0.9646351555766044,0.891714692854574,-410.93024388226803,-0.892968893976577,-4.852424583690015,-0.9303586146583198,-42.578109084394974, 0.6257923411814303
567,01000110111,0.7685128032077776,-4.2526475206528715,-1.0334804287801393,-0.319130257106806,-0.9498862033421795,0.8334263853639795,-3189.315552291532,-0.336749340143907,-5.438695765395124,-0.9402915062587203,-320.098449412464, 0.6360202720810897
111,00001101111,0.6479639782975151,-2.8699890605480642,-5.264272639859777,-0.9699231790565217,-0.24720967270666705,0.5801881326532135,-2066.2410273817477,-0.30520168837504325,-88.90832605950794,-0.3332180379272056,-216.39110156087781, -0.07760397104694561
84,00001010100,0.7073926950699295,-2.902772396862367,-5.269134806932499,-0.9680619533479757,-0.4348197531525735,0.7792525156058341,-2411.155088432083,-0.20728969097279948,-89.08100241767264,-0.29223549752356215,-250.88237597378716, -0.045323076534783624
568,01000111000,-24.17850515334521,-5.332801898903059,-2.303861338422589,-5.806601588666166,-2.2573572484964464,-0.03263802798738191,-2.449477941563171,-1.7947168246901568,0.9453765464962125,-1.9793576473882872,-4.518994112296626, 0.9296829755573006
50,00000110010,-5.700052444676852,-10.818879473737582,-1.8119597504329157,-1.9303410749302383,-1.7920676083264748,0.1352223498701124,-0.7850630721101493,-1.126095890775388,-0.8913797035135582,-0.9749692664659237,-2.569558593509897, -0.03328068866050127
62,00000111110,0.7081682889701431,-2.8743573554052975,-1.4754624266405574,-0.9683919072329825,-0.7042756341678851,0.7755146140897935,-2402.771673324865,-0.3709384138312868,-94.71239789888615,-0.3122288941864726,-250.27060429521558, -0.04586671206370041
80,00001010000,-936.9569660776651,-1.9829425519869246,-1.8050466761210706,-1.2967945199387416,-1.7922880743479674,0.9442235009427576,-95921.24831722282,-1.9260359251182075,0.9942394061049903,-2.8284297597228965,-9686.789835790069, 0.9979175547569092
82,00001010010,0.7092817933309432,-2.8599719563204573,-5.245830345754232,-0.9687000305891249,-0.42977212508854445,0.7794672057580507,-2419.9835819111877,-1.0169761340039996,-84.32562971650445,-0.29040974751357695,-251.36321229678728, -0.04559556278467647
65,00001000001,-44677.72764203336,-5.978737009585943,-1.802549107909718,-4.3605356434775056,-1.792320667844419,0.9645522396624069,-24757468.167439718,-2.807976652049976,0.9882075512818427,-0.7948936826201254,-2480216.147933472, 0.9963211248584158
57,00000111001,0.7211204674190064,-9.937374259919098,-1.8125681482299383,-7.208575666916433,-1.7923160881141262,0.30890599424410237,-12319757.20375342,-1.8728294878771257,0.9852968332770454,-2.915517655833582,-1231978.072761143, 0.9968335548696995
114,00001110010,0.6787221512420052,-2.867699974219979,-5.269140216147954,-0.9687664537880651,-0.16614267637444136,-0.34592336740628493,-2588.345496416091,-0.33504021971773623,-80.33954090417345,-0.3333336391966828,-267.82923617158735, -0.026207960760667337
106,00001101010,0.7100109474504613,-2.94115820565256,-5.269139912916229,-0.9673762380250532,-0.4230713934577679,0.778531606252325,-2410.7934926960866,-0.26961531877751144,-86.02976550014189,-0.2925920803714377,-250.5497668791726, -0.04494519137768882
