k_kinetics,ks_res,r2
"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0)","[ 1.81189463e-04  2.05037229e-06  2.49237468e-05 -2.76328230e-06
  5.43556666e-07 -6.06216398e-07  3.42733708e-04 -3.06742684e-02
  1.36462534e-02  5.36977805e-03 -2.25010634e-02]","0.8134497359317437"
"(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1)","[ 1.80888838e-04  2.10338932e-06  2.51020630e-05 -2.82932738e-06
  5.43547885e-07 -6.06205092e-07  3.42740914e-04 -3.10500442e-02
  1.36466087e-02  5.37039129e-03 -3.69196353e-04]","0.8152486573372645"
"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0)","[ 6.94466196e-04  2.04953898e-06 -2.31701287e-04 -2.76222098e-06
  5.53883036e-07 -6.18706298e-07  3.50117343e-04 -3.12086050e-02
  1.33933328e-02  6.97584674e-05 -2.24985812e-02]","0.8118962215021225"
"(0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1)","[ 6.92740866e-04  2.10278389e-06 -2.30810634e-04 -2.82857157e-06
  5.53846583e-07 -6.18661888e-07  3.50102082e-04 -3.15836716e-02
  1.33944083e-02  6.98156639e-05 -3.69169005e-04]","0.8136989277722535"
"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0)","[ 1.32888443e-03  4.12835062e-06  6.06847931e-04 -5.35110480e-06
  5.36316276e-07 -5.94919641e-07  2.74513723e-04 -2.92860620e-02
  2.51350387e-02  3.01485297e-03 -2.24977146e-02]","0.7939640779553053"
"(0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1)","[ 1.33398738e-03  4.18529668e-06  6.09719548e-04 -5.42205035e-06
  5.36268918e-07 -5.94847717e-07  2.74240594e-04 -2.96170284e-02
  2.50818214e-02  3.00435489e-03 -3.68520648e-04]","0.7955669545146279"
"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0)","[ 1.78535800e-03  4.08806971e-06  3.56551580e-04 -5.30095726e-06
  5.46086021e-07 -6.06787314e-07  2.82932030e-04 -2.98113486e-02
  2.47158991e-02  3.35798019e-05 -2.24954753e-02]","0.7931936030588758"
"(0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1)","[ 1.78911548e-03  4.14512052e-06  3.60162158e-04 -5.37199153e-06
  5.46007239e-07 -6.06676272e-07  2.82634278e-04 -3.01417790e-02
  2.46639107e-02  3.34547743e-05 -3.68500963e-04]","0.7948014888894789"
"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0)","[-2.48756479e-04  2.05830232e-06  6.59266071e-04 -2.77318753e-06
  5.24949811e-07 -5.83165220e-07  3.22556327e-04 -8.42048753e-03
  1.33997321e-02  6.25476521e-03 -2.00586924e-02]","0.7994174451531686"
"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1)","[-2.50723936e-04  2.11056259e-06  6.61923336e-04 -2.83822017e-06
  5.24868528e-07 -5.83064083e-07  3.22501414e-04 -8.53117363e-03
  1.33991435e-02  6.25879870e-03 -3.29506023e-04]","0.8009983920542927"
